iter	Passed	Remaining
938	10487	681
939	10496	669
940	10505	658
941	10514	647
942	10523	636
943	10533	624
944	10541	613
945	10553	602
946	10562	591
947	10571	579
948	10580	568
949	10590	557
950	10599	546
951	10608	534
952	10617	523
953	10626	512
954	10636	501
955	10645	489
956	10654	478
957	10664	467
958	10672	456
959	10682	445
960	10690	433
961	10700	422
962	10709	411
963	10718	400
964	10727	389
965	10736	377
966	10745	366
967	10754	355
968	10765	344
969	10774	333
970	10783	322
971	10792	310
972	10801	299
973	10811	288
974	10820	277
975	10829	266
976	10838	255
977	10847	244
978	10856	232
979	10865	221
980	10874	210
981	10883	199
982	10893	188
983	10902	177
984	10912	166
985	10921	155
986	10932	143
987	10940	132
988	10953	121
989	10962	110
990	10971	99
991	10981	88
992	10989	77
993	10998	66
994	11007	55
995	11016	44
996	11026	33
997	11035	22
998	11045	11
999	11054	0
